red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,productivity
,0.17500000000000002,0.199,,0.077,2834,1589,15,36,1.424
,,,,,2855,1918,1,17,3.5
,,0.099,,,2860,2124,14,33,2.931
,,,,0.4,2865,709,21,50,1.8
,0.15,0.165,0.11,0.093,2882,707,21,50,1.8
,,0.07,,0.049,2902,1945,14,33,2.729
0.034,0.04,,,,2903,1945,14,33,2.729
,,0.052000000000000005,,,2904,1945,14,33,2.729
,,,0.034333333333333334,,2905,1945,14,33,2.729
,0.019,,0.023,,2912,752,21,50,1.7
0.008,,0.019,,0.018000000000000002,2913,752,21,50,1.7
,0.023,0.019,0.016,0.016,2914,752,21,50,1.7
,0.007,,0.02566666666666667,0.021,2915,752,21,50,1.7
,0.15150000000000002,0.226,0.163,0.131,2921,746,21,50,1.6
,,0.048,,,2945,1925,14,33,93.122
,,,0.232,,3042,1661,15,39,0.919
,,0.2,,,3043,1661,15,39,0.919
,0.20800000000000002,,0.121,,3044,1661,15,39,0.919
,0.078,,0.063,,3045,757,21,50,1.7
0.04,,0.07,,0.085,3046,757,21,50,1.7
,0.066,,,0.053,3047,757,21,50,1.7
,0.069,,0.04766666666666667,0.042,3048,757,21,50,1.7
,0.139,,0.111,,3060,1776,15,59,1.9
0.074,,0.081,,0.089,3061,1776,15,59,1.9
,0.0875,0.11900000000000001,,0.063,3062,1776,15,59,1.9
,0.085,,0.056,0.052000000000000005,3063,1776,15,59,1.9
,0.04,0.045,0.049,0.039,3069,731,21,50,1.8
,,0.396,,0.258,3075,2068,14,33,3.048
0.157,0.197,,,,3076,2068,14,33,3.048
,,0.264,,,3077,2068,14,33,3.048
,,,0.19366666666666665,,3078,2068,14,33,3.048
,,,0.002,,3110,967,15,48,1.5
0.001,,,,0.002,3111,967,15,48,1.5
,0.002,,,,3112,967,15,48,1.5
,0.002,,0.001,0.001,3113,967,15,48,1.5
,,0.082,,0.066,3153,2151,14,56,2.013
0.033,0.037,,,,3154,2151,14,56,2.013
,,0.058,,,3155,2151,14,56,2.013
,,,0.043000000000000003,,3156,2151,14,56,2.013
,0.07450000000000001,0.116,,0.049,3162,1912,15,59,1.6
,0.0,,0.0,,3163,749,21,50,1.7
0.0,,0.0,,0.0,3164,749,21,50,1.7
,0.0,,,0.0,3165,749,21,50,1.7
,0.0,,0.0,0.0,3166,749,21,50,1.7
,0.191,,0.14200000000000002,,3172,1164,15,58,2.2
0.182,,0.101,,0.124,3173,1164,15,58,2.2
,0.14100000000000001,,,0.08,3174,1164,15,58,2.2
,0.109,,0.09000000000000001,0.08700000000000001,3175,1164,15,58,2.2
,0.122,,0.108,,3177,1824,15,36,2.5
0.049,,0.078,,0.083,3178,1824,15,36,2.5
,0.07050000000000001,0.115,,0.043,3179,1824,15,36,2.5
,0.081,,0.043666666666666666,0.036000000000000004,3180,1824,15,36,2.5
,0.10300000000000001,0.10300000000000001,0.058,0.076,3184,734,21,50,1.7
,0.153,,,,3190,2652,14,56,3.8
,0.125,,,,3191,3031,14,56,1.8
,0.161,,0.089,,3207,1584,15,30,2.021
0.061,,0.085,,0.082,3208,1584,15,30,2.021
,0.0975,0.105,,0.0635,3209,1584,15,30,2.021
,0.089,,0.05266666666666667,0.047,3210,1584,15,30,2.021
,0.0285,0.028,0.022,0.039,3217,758,21,50,1.7
,0.152,0.184,,,3225,2080,14,56,1.2
,0.211,,0.127,,3228,1364,15,30,33.19
0.165,,0.106,,0.116,3229,1364,15,30,33.19
,0.10300000000000001,,,0.099,3230,1364,15,30,33.19
,0.109,,0.078,0.07200000000000001,3231,1364,15,30,33.19
,0.006,0.002,0.01,0.01,3234,728,21,50,1.7
,0.053,0.055,,,3236,1745,14,33,1.6
,0.146,0.039,,,3241,1744,14,17,4.128
,0.062,0.068,,,3242,1106,14,57,1.811
,0.066,0.081,,,3243,1351,14,57,1.7
,0.164,0.183,,,3253,1698,14,17,4.843
,0.063,0.06,,,3266,964,14,57,1.5
,,0.231,0.108,0.176,3357,1673,14,17,4.8
0.125,0.162,,0.07100000000000001,,3358,1673,14,17,4.8
,0.088,0.151,,,3359,1673,14,17,4.8
,0.092,,0.09933333333333333,0.067,3360,1673,14,17,4.8
,0.139,,0.097,,3377,1126,15,30,2.2
0.107,,0.07100000000000001,,0.081,3378,1126,15,30,2.2
,0.097,,,0.051000000000000004,3379,1126,15,30,2.2
,0.069,,0.052333333333333336,0.048,3380,1126,15,30,2.2
,,0.214,0.10300000000000001,0.145,3437,1651,14,17,4.8
0.07100000000000001,0.101,,0.098,,3438,1651,14,17,4.8
,0.11900000000000001,0.158,,,3439,1651,14,17,4.8
,0.109,,0.09400000000000001,0.1,3440,1651,14,17,4.8
,0.039,0.041,,,3441,954,14,57,1.5
,0.1,,0.068,,3450,1354,15,30,1.8
0.059000000000000004,,0.057,,0.056,3451,1354,15,30,1.8
,0.059000000000000004,,,0.046,3452,1354,15,30,1.8
,0.058,,0.03833333333333333,0.034,3453,1354,15,30,1.8
,0.165,,0.093,,3466,1290,15,30,2.5
0.129,,0.077,,0.081,3467,1290,15,30,2.5
,0.078,,,0.07200000000000001,3468,1290,15,30,2.5
,0.083,,0.056,0.052000000000000005,3469,1290,15,30,2.5
,0.002,,0.004,,3470,1011,15,7,3.3
0.001,,0.002,,0.003,3471,1011,15,7,3.3
,0.002,,,0.002,3472,1011,15,7,3.3
,0.001,,0.0030000000000000005,0.002,3473,1011,15,7,3.3
,0.149,,0.093,,3483,1062,15,30,2.2
0.106,,0.073,,0.079,3484,1062,15,30,2.2
,0.10200000000000001,,,0.054,3485,1062,15,30,2.2
,0.078,,0.05466666666666667,0.05,3486,1062,15,30,2.2
,,0.098,0.046,0.073,3507,1570,14,56,2.926
0.07100000000000001,0.07200000000000001,,0.052000000000000005,,3508,1570,14,56,2.926
,0.066,0.07200000000000001,,,3509,1570,14,56,2.926
,0.069,,0.04833333333333334,0.048,3510,1570,14,56,2.926
,0.27,,,,3511,2798,14,15,4.03
,,0.437,0.092,0.319,3517,2682,14,56,4.0
,0.083,,0.185,,3518,2682,14,56,4.0
,0.183,,,,3519,2682,14,56,4.0
,0.088,,0.13233333333333333,0.14100000000000001,3520,2682,14,56,4.0
,0.13,,0.09,,3529,1759,15,39,1.7
0.049,,0.069,,0.076,3530,1759,15,39,1.7
,0.101,,,0.058,3531,1759,15,39,1.7
,0.07100000000000001,,0.042333333333333334,0.039,3532,1759,15,39,1.7
,0.085,,,0.06,3535,794,21,1,1.6
,0.186,0.073,,,3542,2314,14,15,4.0
,0.046,0.03,,,3551,2355,14,15,2.9
,0.126,,0.101,,3552,1703,15,39,1.7
0.05,,0.074,,0.075,3553,1703,15,39,1.7
,0.081,,,0.061,3554,1703,15,39,1.7
,0.073,,0.043000000000000003,0.038,3555,1703,15,39,1.7
,0.098,,0.166,,3564,778,21,50,1.6
0.064,,0.076,,0.109,3565,778,21,50,1.6
,0.082,,,0.095,3566,778,21,50,1.6
,0.074,,0.07066666666666667,0.067,3567,778,21,50,1.6
,,0.213,,0.19,3568,1609,14,56,2.9
0.138,0.145,,0.125,,3569,1609,14,56,2.9
,0.163,0.17300000000000001,,,3570,1609,14,56,2.9
,0.161,,0.11399999999999999,0.113,3571,1609,14,56,2.9
,0.156,,0.107,,3572,1860,15,36,2.4
0.06,,0.091,,0.085,3573,1860,15,36,2.4
,0.112,,,0.064,3574,1860,15,36,2.4
,0.093,,0.05366666666666667,0.049,3575,1860,15,36,2.4
,0.101,,,0.076,3578,795,21,1,1.6
,0.158,,0.135,,3584,1772,15,39,1.7
0.077,,0.108,,0.115,3585,1772,15,39,1.7
,0.13,,,0.085,3586,1772,15,39,1.7
,0.11,,0.067,0.061,3587,1772,15,39,1.7
,0.106,,0.049,,3596,1198,15,7,1.8
0.085,,0.038,,0.039,3597,1198,15,7,1.8
,0.043000000000000003,,,0.034,3598,1198,15,7,1.8
,0.041,,0.028999999999999998,0.027,3599,1198,15,7,1.8
,0.47900000000000004,,0.431,,3624,756,21,40,1.6
0.26,,0.276,,0.363,3625,756,21,40,1.6
,0.35100000000000003,,,0.24,3626,756,21,40,1.6
,0.272,,0.2773333333333334,0.269,3627,756,21,40,1.6
,0.016,0.02,,,3652,1400,14,33,3.7
,,0.378,0.08700000000000001,0.258,3653,2032,14,15,3.8
0.14200000000000002,0.182,,0.153,,3654,2032,14,15,3.8
,0.26,0.258,,,3655,2032,14,15,3.8
,0.248,,0.1335,0.128,3656,2032,14,15,3.8
,0.096,,0.043000000000000003,,3665,796,21,50,1.7
0.069,,0.052000000000000005,,0.04,3666,796,21,50,1.7
,0.054,,,0.036000000000000004,3667,796,21,50,1.7
,0.041,,0.03133333333333333,0.029,3668,796,21,50,1.7
,0.2,0.19,,,3673,2344,14,15,3.8
,0.10200000000000001,,0.049,,3679,793,21,50,1.6
0.093,,0.047,,0.045,3680,793,21,50,1.6
,0.066,,,0.033,3681,793,21,50,1.6
,0.054,,0.036333333333333336,0.033,3682,793,21,50,1.6
,,0.228,,0.152,3709,1873,14,15,3.8
0.093,0.108,,0.108,,3710,1873,14,15,3.8
,0.171,0.151,,,3711,1873,14,15,3.8
,0.166,,0.0815,0.092,3712,1873,14,15,3.8
,0.178,,0.121,,3717,1618,15,36,2.2
0.078,,0.107,,0.10400000000000001,3718,1618,15,36,2.2
,0.14200000000000002,,,0.082,3719,1618,15,36,2.2
,0.107,,0.06666666666666667,0.061,3720,1618,15,36,2.2
,0.065,0.085,,,3721,1184,14,15,1.8
,0.024,,,0.011,3728,799,21,50,1.8
,,0.146,0.023,0.097,3730,1522,14,56,2.9
0.109,0.124,,0.047,,3731,1522,14,56,2.9
,0.078,0.116,,,3732,1522,14,56,2.9
,0.083,,0.055,0.047,3733,1522,14,56,2.9
,0.06,0.073,,,3734,1094,14,56,1.8
,0.14300000000000002,,,,3745,855,21,50,1.7
,0.24,,0.106,,3747,793,21,50,1.8
0.228,,0.088,,0.095,3748,793,21,50,1.8
,0.126,,,0.069,3749,793,21,50,1.8
,0.099,,0.075,0.067,3750,793,21,50,1.8
,0.091,0.077,,,3751,2223,14,15,3.6
,0.23900000000000002,,0.101,,3752,822,21,50,2.0
0.241,,0.084,,0.091,3753,822,21,50,2.0
,0.14300000000000002,,,0.069,3754,822,21,50,2.0
,0.10300000000000001,,0.075,0.069,3755,822,21,50,2.0
,,,,,3756,904,15,50,3.0
,,,,,3757,904,15,50,3.0
,0.121,,0.058,,3758,801,21,50,1.8
0.11,,0.048,,0.054,3759,801,21,50,1.8
,0.07100000000000001,,,0.04,3760,801,21,50,1.8
,0.058,,0.041666666666666664,0.038,3761,801,21,50,1.8
,0.372,,0.203,,3762,801,21,50,1.8
0.332,,0.157,,0.189,3763,801,21,50,1.8
,0.20600000000000002,,,0.12,3764,801,21,50,1.8
,0.162,,0.12466666666666666,0.11,3765,801,21,50,1.8
,0.023,,,0.012,3768,798,21,50,1.8
,0.073,,0.034,,3770,872,21,50,2.1
0.064,,0.026000000000000002,,0.03,3771,872,21,50,2.1
,0.044,,,0.021,3772,872,21,50,2.1
,0.029,,0.022333333333333334,0.021,3773,872,21,50,2.1
,0.165,0.181,,,3774,1504,14,56,1.0
,0.14100000000000001,,,0.062,3781,875,21,50,1.6
,0.056,,0.024,,3791,828,21,50,1.8
0.06,,0.019,,0.023,3792,828,21,50,1.8
,0.03,,,0.018000000000000002,3793,828,21,50,1.8
,0.025,,0.017666666666666667,0.016,3794,828,21,50,1.8
,0.176,0.14300000000000002,,,3803,2217,14,15,3.8
,0.16,0.126,,,3812,1743,14,15,3.3
,0.23800000000000002,,0.133,,3813,949,21,50,2.1
0.227,,0.09,,0.107,3814,949,21,50,2.1
,0.14100000000000001,,,0.066,3815,949,21,50,2.1
,0.099,,0.07466666666666667,0.07100000000000001,3816,949,21,50,2.1
,0.043000000000000003,0.066,,,3817,1267,14,56,3.1
,0.069,,,0.03,3820,914,21,50,1.8
,0.026000000000000002,,,0.011,3839,956,21,50,2.0
