red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,class
,,0.506,0.40800000000000003,0.273,881,1147,1,3,10
,,0.171,0.355,0.20500000000000002,884,925,1,10,10
,,0.453,0.216,0.23900000000000002,887,965,2,10,4
,,0.312,0.332,0.218,890,979,2,10,4
,,0.089,0.07200000000000001,0.078,893,977,2,10,10
,,0.212,0.319,0.221,896,982,2,10,4
,,0.045,0.077,0.076,899,982,2,10,4
,,0.032,0.043000000000000003,0.041,902,985,2,10,4
,,0.047,0.074,0.08,905,985,2,10,10
,,0.495,0.093,0.084,908,1004,2,10,16
,,0.166,0.047,0.038,911,1008,2,10,8
,,0.20800000000000002,0.047,0.04,914,1008,2,10,16
,,0.131,0.029,0.024,917,1002,2,10,8
,,0.178,0.06,0.05,920,1002,2,10,16
,,0.368,0.067,0.055,923,1012,2,10,8
,,0.621,0.244,0.264,926,1001,2,10,4
,,0.378,0.396,0.304,929,1001,2,10,10
,,0.083,0.019,0.017,932,1024,2,3,8
,,0.02,0.021,0.018000000000000002,935,1001,2,10,10
,,0.054,0.01,0.009000000000000001,938,1024,2,3,16
,,0.044,0.008,0.008,941,1024,2,3,16
,,0.056,0.013000000000000001,0.012,944,1024,2,3,16
,,0.041,0.009000000000000001,0.009000000000000001,947,1024,2,3,8
,,0.56,0.108,0.10400000000000001,950,1071,2,10,16
,,0.383,0.718,0.5740000000000001,953,1074,2,10,10
,,0.313,0.097,0.111,956,1073,2,10,10
,,0.388,0.519,0.42,959,1077,2,10,8
,,0.17400000000000002,0.111,0.145,962,1077,2,10,7
,,0.381,0.106,0.108,965,1077,2,10,8
,,0.606,0.134,0.135,968,1077,2,10,4
,,0.386,0.389,0.307,971,1083,2,10,10
,,0.155,0.219,0.20500000000000002,974,1085,2,10,13
,,0.596,0.47300000000000003,0.453,977,1539,2,4,2
,,0.123,0.147,0.085,980,1497,2,4,2
,,0.131,0.13,0.038,983,1527,2,4,2
,,0.217,0.215,0.15,986,1544,2,4,2
,,0.22,0.177,0.045,989,1559,2,4,2
,,0.081,0.155,0.122,992,1571,2,4,2
