,ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district
188,0.010000000000000004,0.1018,0.0007999999999999952,-0.039,-0.020000000000000004,914,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
189,-0.013600000000000001,-0.0042,0.0011999999999999984,-0.017625000000000002,-0.016749999999999998,914,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
190,0.10350000000000001,0.16549999999999998,0.051750000000000004,0.08675000000000001,0.02875,651,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
192,-0.005000000000000001,0.031999999999999994,0.09625,0.15050000000000002,0.17,651,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
194,0.0255,0.2935,0.2105,-0.017249999999999995,-0.03900000000000001,913,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
196,-0.0007500000000000007,0.05425,0.028500000000000004,0.014750000000000003,0.007000000000000003,620,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
198,0.065,0.28475000000000006,0.187,0.06999999999999999,0.032,630,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
200,0.06,0.0965,0.022,0.12250000000000001,0.14475000000000002,643,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
202,0.0019999999999999983,0.005249999999999994,0.0,-0.0010000000000000009,0.022250000000000002,696,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
204,0.10900000000000001,0.12025000000000002,0.03575,0.11375000000000002,0.08574999999999999,625,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
206,0.018000000000000002,0.066,0.043000000000000003,0.029,0.03775,625,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
207,0.1525,0.272,0.0705,0.11725000000000001,0.223,659,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
209,0.013500000000000002,0.15275,0.11075,0.04025,0.06925,669,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
211,0.006000000000000005,0.10225,0.004,-0.008750000000000008,0.07625000000000001,664,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
213,-0.0002500000000000002,0.020999999999999998,0.0815,0.1835,0.21550000000000002,664,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
214,0.005500000000000001,0.08049999999999999,0.17325000000000002,0.34299999999999997,0.3985,657,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
216,0.0012500000000000011,0.07875,0.10875,0.18800000000000003,0.197,657,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
217,0.04175000000000001,0.1315,0.11075,0.018750000000000003,-0.008249999999999997,1063,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
219,0.006999999999999999,0.0115,0.12875,0.088,0.0012499999999999976,1063,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
220,-0.006750000000000001,0.01225,0.026249999999999996,0.12425,0.193,696,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
222,-0.0017499999999999998,-0.0010000000000000009,0.043750000000000004,0.11550000000000002,0.12625,696,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
223,-0.014750000000000003,0.038000000000000006,0.08975,0.25375000000000003,0.38875000000000004,646,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
225,-0.005000000000000001,-0.006499999999999997,0.02025,0.036000000000000004,0.11000000000000001,646,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
226,0.0805,0.33725,0.287,0.04325,-0.03400000000000001,1037,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
228,0.42175,0.48724999999999996,0.41775,0.25025,0.40349999999999997,724,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
230,0.01675,0.17400000000000002,0.15775,0.0115,-0.013750000000000002,724,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
231,0.25849999999999995,0.48350000000000004,0.20450000000000002,0.012250000000000004,-0.03425000000000001,729,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
233,0.08675000000000001,0.30774999999999997,0.057999999999999996,0.0955,0.25875,729,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
234,0.15725,0.34775,0.22025000000000003,0.22500000000000003,0.118,966,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
236,0.028499999999999998,0.13549999999999998,0.16499999999999998,0.0755,0.017750000000000002,966,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
