ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district,target
-0.015249999999999996,0.04000000000000001,0.19,0.2655,0.26525,738,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4
0.1905,0.39775,0.13524999999999998,-0.01149999999999999,-0.033,664,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3
0.014750000000000003,0.15775,0.168625,0.03125000000000001,-0.0037500000000000033,713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5
-0.012249999999999997,0.046750000000000014,0.15500000000000003,0.26549999999999996,0.274,671,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,4
-0.02275,-0.0306,-0.0466,-0.04820000000000001,0.0036249999999999963,606,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3
0.25849999999999995,0.48350000000000004,0.20450000000000002,0.012250000000000004,-0.03425000000000001,729,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3
-0.0012500000000000002,0.009,0.06375,0.043500000000000004,0.051000000000000004,1497,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6
0.005750000000000002,0.02825,0.08975,0.27075000000000005,0.3365,621,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6
0.030250000000000003,0.1545,0.09025000000000001,0.038,0.0020000000000000018,658,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3
0.185,0.0995,-0.006749999999999999,-0.011500000000000002,-0.01925,628,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3
0.045599999999999995,0.1805,0.0262,-0.0634,-0.04460000000000001,605,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,6
0.012999999999999998,0.07525,0.07175,0.003250000000000001,-0.0002500000000000002,939,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0.023250000000000003,0.09725000000000002,0.09,0.0030000000000000027,-0.0295,1077,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,5
-0.011250000000000003,0.01225,-0.00575,0.0077499999999999965,0.033499999999999995,892,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,4
-0.003999999999999997,0.32125,0.32125,0.279,0.08850000000000001,630,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6
0.04575,0.15325,0.129,0.07250000000000001,0.087,599,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
-0.014750000000000003,0.01275,0.028750000000000005,0.09125,0.20125,982,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,4
0.0045000000000000005,0.00725,0.01475,0.003999999999999999,-0.0002500000000000002,897,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
0.01125,0.03825,0.0055,0.002,-0.0012500000000000011,596,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3
0.07700000000000001,0.23825000000000002,0.08,0.015500000000000007,-0.015250000000000003,740,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3
-0.007999999999999997,-0.0014999999999999944,0.017999999999999995,0.1025,0.10875,678,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
0.2725,0.31575,0.09125,0.012499999999999997,-0.023499999999999997,672,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4
-0.0052,0.025750000000000002,0.0228,-0.0042,-0.0112,784,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5
